| GTID   | GT_Tag                                       |     q |     a1x |     a1y |     a1z |     a2x |     a2y |     a2z | af     | mf     |   Momega |
| GT0482 | EK_D6.2_a0.6_th030_M77                       |  1.00 |  0.5207 |  0.3006 |  0.0000 | -0.5207 | -0.3006 |  0.0000 | 0.6842 | 0.9509 |  0.20894 |
| GT0483 | EK_D6.2_a0.6_th045_M77                       |  1.00 |  0.4251 |  0.4252 |  0.0001 | -0.4251 | -0.4252 |  0.0001 | 0.6826 | 0.9504 |  0.21239 |
| GT0484 | EK_D6.2_a0.6_th060_M77                       |  1.00 |  0.3006 |  0.5207 |  0.0001 | -0.3006 | -0.5207 |  0.0001 | 0.6811 | 0.9499 |  0.21614 |
| GT0485 | EK_D6.2_a0.6_th090_M77                       |  1.00 |  0.0000 |  0.6013 |  0.0000 |  0.0000 | -0.6013 |  0.0000 | 0.6798 | 0.9494 |  0.22228 |
| GT0486 | EK_D6.2_a0.6_th120_M77                       |  1.00 | -0.3006 |  0.5207 |  0.0000 |  0.3006 | -0.5207 |  0.0000 | 0.6817 | 0.9498 |  0.22112 |
| GT0487 | EK_D6.2_a0.6_th150_M77                       |  1.00 | -0.5207 |  0.3006 |  0.0000 |  0.5207 | -0.3006 |  0.0000 | 0.6846 | 0.9507 |  0.21124 |
| GT0489 | EK_D6.2_a0.6_th210_M77                       |  1.00 | -0.5207 | -0.3006 |  0.0000 |  0.5207 |  0.3006 |  0.0000 | 0.6842 | 0.9509 |  0.20894 |
| GT0490 | EK_D6.2_a0.6_th240_M77                       |  1.00 | -0.3006 | -0.5207 |  0.0001 |  0.3006 |  0.5207 |  0.0001 | 0.6811 | 0.9499 |  0.21611 |
| GT0491 | EK_D6.2_a0.6_th270_M77                       |  1.00 |  0.0000 | -0.6013 |  0.0000 |  0.0000 |  0.6013 |  0.0000 | 0.6798 | 0.9494 |  0.22226 |
| GT0492 | EK_D6.2_a0.6_th300_M77                       |  1.00 |  0.3006 | -0.5207 |  0.0000 | -0.3006 |  0.5207 |  0.0000 | 0.6817 | 0.9498 |  0.22111 |
| GT0493 | EK_D6.2_a0.6_th330_M77                       |  1.00 |  0.5207 | -0.3006 |  0.0000 | -0.5207 |  0.3006 |  0.0000 | 0.6846 | 0.9507 |  0.21123 |
